Age,Annual_Income,Family_Size,Product_Price,Availability,Discount_Percentage,Previous_Purchases,Website_Visits,Time_Spent_Minutes,Cart_Additions,Need_Score,Purchased
56,76235,5,32329,0,47,24,42,103,19,5,1
46,34855,2,30630,1,12,12,33,74,5,6,0
32,187241,3,38124,1,1,21,25,56,16,2,0
60,197476,2,49201,1,1,2,38,100,19,1,0
25,170641,3,20514,1,42,18,14,94,17,3,1
38,145074,3,28003,0,24,28,9,9,19,3,0
56,74437,6,14830,0,27,22,27,5,7,7,1
36,199578,5,38024,1,47,18,44,7,17,7,1
40,176810,4,38641,0,48,15,19,100,14,6,1
28,157844,3,27998,0,25,15,25,65,0,4,0
28,110410,4,43754,1,34,25,32,91,0,8,1
41,39731,5,16030,1,27,2,22,12,6,2,0
53,161203,4,3618,1,32,25,29,80,15,7,1
57,86324,6,31082,0,17,27,28,48,19,1,0
41,101720,6,6875,0,13,22,44,72,13,8,1
20,116433,1,24090,0,40,24,13,25,11,5,1
39,22889,6,5478,1,8,8,28,13,4,6,0
19,29569,3,46502,0,43,18,3,41,6,6,1
41,107193,5,39541,1,29,23,30,10,11,1,1
61,105192,6,6544,0,2,0,11,40,18,7,0
47,107154,2,14276,1,33,13,2,33,4,3,0
55,128073,5,25160,0,32,27,9,35,6,2,0
19,27612,3,9479,0,26,23,33,37,6,7,1
38,71644,5,36595,1,8,10,26,103,12,9,0
50,52069,6,47093,1,12,17,16,92,19,4,0
29,101741,2,27668,0,29,19,25,16,16,7,1
39,178403,1,22865,0,15,6,1,72,4,5,0
61,75897,3,30902,1,41,5,21,33,13,7,1
42,165006,7,23296,0,25,11,20,53,10,1,0
44,161167,3,15568,0,4,24,5,35,19,9,0
59,122544,5,28949,1,45,29,17,55,18,6,1
45,38706,7,37213,1,26,23,40,102,3,8,1
33,194588,7,8274,0,14,1,38,76,16,9,1
32,123602,4,45920,1,27,12,1,79,16,1,0
64,54629,7,19198,0,2,19,13,17,2,5,0
61,197982,4,7146,0,40,0,18,27,13,7,1
20,144746,7,4286,1,0,22,4,114,5,8,0
54,40431,2,16822,0,0,14,47,21,9,3,0
24,60088,1,42721,0,5,19,14,21,16,8,0
38,195207,1,6068,0,10,7,48,17,1,5,0
26,189087,7,45324,0,49,17,5,27,11,1,1
56,51385,5,48366,0,45,14,33,76,15,4,1
35,90199,5,40552,1,15,7,26,48,15,2,0
21,58677,4,28370,1,32,1,4,44,2,5,0
42,138104,6,48411,0,23,10,30,36,17,4,1
31,32818,1,41229,0,31,7,17,28,6,2,0
26,83001,6,39373,1,9,28,28,25,9,7,0
43,175049,1,6487,0,24,12,6,73,7,2,0
19,69832,6,24494,1,9,0,27,47,17,2,0
37,60931,6,11391,1,12,28,36,101,16,4,1
45,103990,1,45674,1,0,17,7,23,2,5,0
64,92204,2,30193,0,34,4,1,75,7,3,0
24,65784,2,2710,0,13,0,10,50,19,9,0
61,126305,5,35341,0,20,11,13,65,4,6,0
25,29921,6,28437,0,47,4,41,16,19,8,1
64,54959,6,35556,1,37,20,32,50,11,5,1
52,52328,6,4904,0,0,15,14,13,5,8,0
31,159931,6,34158,0,19,22,33,84,9,6,1
34,109506,6,10327,0,4,17,30,80,9,7,0
53,94408,4,31434,1,39,1,9,118,0,2,0
57,143852,3,6611,0,43,14,6,80,8,6,1
21,46708,6,41065,1,31,27,10,35,17,5,1
19,38847,4,41582,0,0,21,11,114,2,8,0
23,75989,2,39540,0,44,29,39,32,0,5,1
59,145383,6,19827,0,40,10,20,87,9,7,1
21,24922,2,49317,0,39,28,25,25,2,4,1
46,72335,5,31239,0,44,9,12,43,17,2,1
35,146913,3,19894,1,1,2,22,28,6,3,0
43,164613,1,3081,0,30,12,12,109,6,4,0
61,39551,3,12885,1,46,12,14,66,9,3,1
51,170453,6,14766,0,45,23,42,67,12,7,1
27,133319,6,35683,0,25,2,48,95,3,5,1
53,75673,3,5196,1,8,9,36,97,11,3,0
31,121531,3,14050,0,29,3,14,33,2,3,0
48,42948,5,6773,1,45,13,2,47,15,9,1
32,112264,7,1842,1,7,28,2,118,10,9,0
25,79072,2,38588,0,4,22,43,35,2,5,0
31,87560,1,36377,0,38,16,43,100,7,2,1
40,153558,7,45141,0,3,0,6,64,6,5,0
57,86691,3,3634,0,39,24,25,90,13,4,1
38,161154,1,14785,0,35,14,3,12,1,6,0
33,122781,3,5236,1,20,27,23,53,9,6,1
62,104105,2,5685,1,32,21,9,44,2,6,0
35,27086,1,27458,0,25,20,31,46,10,7,1
64,147818,7,8654,0,39,1,28,11,18,2,1
41,87853,4,44341,1,38,17,25,70,7,4,1
43,121925,2,1734,1,10,6,35,89,19,9,0
42,90027,7,17008,1,20,21,1,46,4,5,0
62,35916,1,21410,0,47,27,2,59,8,1,1
58,35248,3,15217,0,21,29,15,59,12,6,0
46,44226,7,1822,1,48,12,43,34,10,5,1
32,176097,3,8711,1,36,23,40,99,1,2,1
62,68380,2,3964,0,6,2,16,21,11,3,0
18,27848,2,1167,1,41,2,23,82,2,3,1
42,34274,7,26076,0,12,12,49,72,14,7,1
24,74545,3,39306,1,19,20,35,98,0,5,1
26,116494,1,7371,0,14,25,8,52,10,9,0
41,135981,7,44193,1,37,3,7,48,9,1,0
18,186305,4,11928,1,33,15,21,78,2,3,0
61,36304,5,47000,1,35,27,35,19,13,8,1
25,31294,2,31231,1,45,7,39,84,15,3,1
41,46425,3,20486,0,24,21,37,4,8,3,1
28,130777,1,49881,1,28,7,33,102,13,8,1
34,160497,2,46310,0,46,15,37,32,0,3,1
25,111549,1,1934,1,27,22,35,90,0,2,1
52,113464,2,47994,1,13,1,18,28,3,3,0
52,196062,3,2453,0,3,8,19,76,0,2,0
50,126748,1,13978,1,37,26,10,58,18,8,1
22,88295,3,11232,1,6,12,4,74,11,5,0
59,36091,1,8303,0,12,21,30,41,19,3,0
56,139943,2,10422,1,16,26,45,99,3,8,1
58,151074,5,11395,1,28,26,33,33,8,8,1
45,70411,5,36025,1,16,21,4,14,6,4,0
24,192030,7,22347,0,35,11,9,104,13,9,1
26,115696,4,42494,1,18,1,17,87,2,1,0
25,171779,4,17440,0,25,8,43,82,14,7,1
29,166320,7,20342,0,44,0,39,53,10,5,1
51,91309,7,22622,0,8,5,24,108,9,7,0
50,166109,6,44694,0,1,29,39,76,19,8,1
40,87421,3,12195,1,19,23,13,42,14,3,0
41,60612,1,46435,1,22,1,26,36,16,3,0
54,33450,4,40752,0,17,2,19,25,18,1,0
52,29491,2,23525,1,25,25,17,52,10,5,1
61,137026,7,34823,1,24,14,30,101,19,8,1
57,94804,5,10304,1,16,25,26,40,15,1,0
39,113293,1,5091,1,38,6,13,115,3,2,0
44,139498,6,31726,1,48,12,49,86,6,2,1
52,157863,5,36933,1,9,15,18,70,10,2,0
18,125475,7,16167,0,24,12,21,80,19,5,0
52,48314,1,13863,1,45,26,34,62,16,7,1
54,71883,7,44963,0,27,11,47,87,18,3,1
64,107086,4,17508,1,25,16,9,9,9,1,0
31,121291,4,25276,0,11,20,30,107,14,9,1
20,29967,3,35197,1,43,10,29,99,5,9,1
18,63220,6,48741,0,48,21,29,93,12,4,1
22,156019,1,35894,0,18,25,46,78,2,5,1
43,190491,6,24331,1,22,6,19,69,7,4,0
31,76131,2,1111,1,13,12,8,21,6,8,0
56,48876,6,23527,0,16,9,44,53,4,1,0
44,121448,7,38492,1,14,9,17,70,17,4,0
26,171043,7,15329,1,20,12,12,1,15,4,0
32,69228,4,13344,1,37,22,15,31,8,3,1
32,94495,3,16702,1,29,18,5,45,10,4,0
43,48261,7,44648,0,18,29,34,105,18,7,1
59,126601,4,24562,1,31,22,3,28,13,5,0
30,81260,5,25402,1,28,16,5,3,6,3,0
49,154418,4,23636,1,21,26,34,102,11,6,1
56,76176,1,22310,1,19,19,9,116,18,9,0
49,72300,3,5685,0,37,6,24,87,7,3,1
21,162412,7,49230,1,37,22,5,40,4,2,0
47,53012,1,46973,1,35,3,27,4,5,9,1
54,186465,2,17295,1,0,16,49,70,10,5,0
40,122153,2,14937,0,18,29,20,76,2,5,0
56,176629,4,47261,1,42,23,47,12,10,7,1
62,93273,3,5556,0,25,3,45,62,11,2,1
32,132328,6,37389,1,6,17,41,71,0,5,0
60,130304,3,9875,1,33,19,2,92,3,8,0
46,126637,3,14199,0,35,7,23,90,19,8,1
53,168348,3,36905,0,5,7,34,48,0,7,0
30,74639,4,41942,1,36,20,29,7,5,5,1
49,141939,1,46854,1,21,15,43,57,1,4,1
24,27310,4,16915,1,8,14,35,56,12,2,0
39,186239,6,12326,1,42,17,30,67,15,2,1
45,122944,1,30172,1,28,22,3,13,10,3,0
19,161463,6,9239,0,49,18,10,52,13,3,1
59,142013,5,30160,1,16,5,34,63,5,7,0
62,161964,5,44967,0,12,8,1,41,15,6,0
23,96733,7,9959,0,16,28,6,75,16,1,0
45,187214,7,44042,1,9,15,6,103,9,6,0
45,196751,1,2639,1,24,20,43,23,12,5,1
61,192687,4,43173,0,17,8,16,47,12,6,0
61,198625,6,13299,0,48,19,1,65,1,8,1
37,129264,6,33258,1,43,24,5,98,0,1,0
47,99071,7,182,0,14,16,25,31,0,6,0
28,192074,7,41836,0,26,3,27,97,6,4,0
45,142611,2,12381,0,18,14,42,111,12,9,1
42,90658,6,15220,1,14,10,38,100,16,8,1
56,29852,4,10046,1,44,13,43,36,8,7,1
50,25387,2,10991,0,6,16,26,14,12,3,0
18,147571,4,19740,0,42,27,16,37,15,9,1
44,117295,3,26211,1,39,12,45,32,4,3,1
30,150381,6,38875,1,15,8,44,53,6,6,1
58,59994,3,33390,0,23,23,26,28,0,2,0
20,136912,5,30704,1,22,15,45,65,7,8,1
56,184797,5,34562,1,10,7,37,47,5,1,0
23,151632,1,18736,1,23,13,28,71,11,1,0
25,144210,6,4937,1,4,14,28,80,1,8,0
44,76565,7,11901,1,38,6,30,118,0,9,1
26,21312,2,23810,0,47,24,13,32,14,9,1
54,169277,3,41337,0,29,26,25,24,16,8,1
50,145882,4,31721,1,15,10,45,14,19,8,1
59,162667,6,49399,1,19,28,19,47,2,4,0
61,107566,1,41016,1,28,2,13,79,5,8,0
41,41329,4,13165,1,16,6,11,116,15,7,0
32,88187,3,45574,0,18,21,48,1,9,9,1
49,95542,6,28330,0,25,4,23,92,12,8,0
49,128237,7,36488,1,14,8,14,19,7,2,0
41,134476,3,10731,1,24,19,10,58,16,8,0
58,55645,6,29928,1,14,18,34,7,6,8,1
29,107502,6,9231,1,19,12,40,82,4,9,1
56,107310,3,14407,1,29,26,23,111,7,3,1
19,89619,3,3809,0,20,18,40,77,0,8,1
20,53513,4,48854,0,46,15,21,115,1,8,1
54,28749,1,46783,1,34,1,20,64,3,4,0
34,181855,3,20821,1,43,0,32,18,0,5,1
19,80645,5,32294,0,5,2,14,63,9,2,0
19,73175,1,5194,0,36,23,24,68,2,6,1
45,168395,5,9515,0,10,11,46,50,1,9,1
40,70762,4,48946,1,22,5,18,68,6,3,0
54,84222,3,48344,0,43,1,47,91,1,6,1
49,185565,1,13630,1,38,23,30,16,5,8,1
50,32213,7,7572,1,8,15,28,14,7,2,0
18,117367,3,36231,0,17,28,48,62,2,1,1
36,198002,6,19507,1,45,4,14,78,18,6,1
19,178785,3,18301,0,35,11,42,7,8,3,1
61,127157,7,28048,1,39,3,21,109,0,2,0
43,52583,1,47008,0,47,13,34,56,7,8,1
49,148792,3,49935,0,35,16,5,14,5,9,0
23,99944,3,23215,0,27,11,31,42,1,7,1
49,42369,2,28061,0,18,12,3,109,13,9,0
21,199000,2,47183,1,29,16,23,70,0,7,1
28,135844,1,47282,0,37,19,39,62,6,3,1
34,39510,1,2117,0,14,27,44,43,10,1,1
55,32120,6,4323,0,43,14,30,57,15,1,1
41,119847,6,35052,0,11,28,42,102,1,5,1
22,118575,3,23175,1,1,8,43,91,17,9,0
51,149269,5,6631,0,8,25,30,75,18,6,0
23,25295,1,4766,1,34,9,49,31,9,2,1
39,40460,7,23881,1,0,5,36,51,3,6,0
28,34963,3,44123,1,45,16,38,113,2,4,1
33,97116,5,35336,0,30,11,7,67,12,9,0
50,47328,2,40159,1,27,23,5,1,5,3,0
26,104629,6,40123,0,44,27,6,80,9,7,1
23,144034,7,36788,0,36,8,49,44,7,8,1
33,41605,1,4336,0,6,1,14,91,9,2,0
46,130901,3,2039,1,45,15,11,110,1,7,1
20,195885,2,36724,0,15,15,37,50,19,5,1
37,197443,4,32918,1,49,21,2,60,14,1,1
53,128241,2,16026,1,13,22,31,3,0,7,0
36,67598,3,27652,1,32,26,46,72,10,8,1
43,92258,6,30200,1,5,28,27,114,0,1,0
20,60969,5,1460,0,20,0,16,80,15,4,0
36,187984,7,39673,0,9,29,2,111,11,4,0
37,189446,7,44796,0,31,26,49,54,11,5,1
49,82784,4,12094,0,5,20,26,2,18,5,0
24,167000,7,25041,0,1,26,16,29,12,4,0
58,41274,4,27631,1,38,10,9,16,7,1,0
50,149994,6,35913,1,48,20,9,119,1,9,1
57,54416,4,11193,1,26,2,5,93,18,5,0
56,120434,1,33125,0,13,1,36,95,13,1,0
35,180119,3,11751,1,22,13,7,106,0,3,0
57,194428,7,32912,0,38,0,32,59,8,1,1
18,188206,4,24944,1,20,5,29,11,18,7,1
28,71310,2,17818,1,40,6,37,115,13,7,1
45,100758,5,49923,1,29,1,3,96,3,6,0
42,163435,3,48222,0,24,1,30,24,1,9,0
40,195635,6,13689,0,23,14,40,83,9,7,1
48,50628,7,39868,0,10,20,31,32,14,5,0
47,89672,2,20122,0,34,4,48,74,0,7,1
59,66246,1,47348,1,3,12,27,54,10,4,0
